timestamp,utilization_gpu,memory_used,power_draw
2026/09/20 13:47:57.270, 15, 1583, 26.81
2026/09/20 13:47:58.279, 10, 1745, 26.81
2026/09/20 13:47:59.279, 9, 1745, 26.81
2026/09/20 13:48:00.279, 9, 1777, 26.81
2026/09/20 13:48:01.279, 10, 1841, 26.81
2026/09/20 13:48:02.279, 9, 1841, 32.93
2026/09/20 13:48:03.279, 9, 1841, 32.93
2026/09/20 13:48:04.279, 9, 1905, 32.93
2026/09/20 13:48:05.280, 9, 1905, 32.93
2026/09/20 13:48:06.280, 9, 1905, 32.93
2026/09/20 13:48:07.280, 9, 1969, 32.93
2026/09/20 13:48:08.280, 9, 1969, 32.93
2026/09/20 13:48:09.280, 9, 1969, 32.93
2026/09/20 13:48:10.280, 14, 2001, 33.16
2026/09/20 13:48:11.281, 9, 2001, 33.16
2026/09/20 13:48:12.281, 9, 2097, 33.16
2026/09/20 13:48:13.281, 9, 2097, 33.16
2026/09/20 13:48:14.281, 15, 2129, 33.16
2026/09/20 13:48:15.281, 9, 2129, 33.16
2026/09/20 13:48:16.281, 9, 2129, 33.16
2026/09/20 13:48:17.281, 10, 2129, 33.16
2026/09/20 13:48:18.282, 9, 2129, 33.14
2026/09/20 13:48:19.282, 9, 2129, 33.14
2026/09/20 13:48:20.282, 9, 2129, 33.14
2026/09/20 13:48:21.282, 11, 2129, 33.14
2026/09/20 13:48:22.282, 97, 1713, 33.14
