step,d_loss,g_loss,elapsed_seconds
0,1.503324,0.697525,18.090
1,1.053934,0.716308,19.056
2,0.179581,0.744120,20.006
3,0.059547,0.783395,20.961
4,0.026800,0.835324,21.913
5,0.018194,0.903312,22.886
6,0.015256,0.992701,23.844
7,0.013086,1.110460,24.800
8,0.022224,1.248509,25.753
9,0.032386,1.407598,26.724
10,0.024705,1.587945,27.679
11,0.015709,1.781732,28.624
12,0.015422,1.984788,29.582
13,0.019646,2.205906,30.542
14,0.017245,2.439786,31.505
15,0.017850,2.671384,32.473
16,0.024450,2.902841,33.447
17,0.018464,3.127921,34.398
18,0.020918,3.336459,35.375
19,0.024589,3.525591,36.348
20,0.019728,3.715580,37.305
21,0.022471,3.924626,38.246
22,0.013729,4.127754,39.229
23,0.017819,4.334198,40.169
24,0.018890,4.563422,41.099
25,0.010113,4.716263,42.038
26,0.011154,4.873581,43.045
27,0.012953,5.011986,43.993
28,0.009909,5.135510,44.954
29,0.011637,5.265477,46.002
30,0.008511,5.344933,46.965
31,0.007730,5.416941,47.936
32,0.009979,5.467518,48.886
33,0.008214,5.517185,49.836
34,0.010641,5.566497,50.770
35,0.006739,5.573214,51.722
36,0.010949,5.583858,52.658
37,0.006428,5.558724,53.607
38,0.006804,5.508592,54.544
39,0.006840,5.412212,55.500
40,0.008886,5.304450,56.455
41,0.008656,5.167851,57.425
42,0.008066,5.057146,58.403
43,0.006546,4.848011,59.368
44,0.009023,4.694345,60.337
45,0.008293,4.484692,61.282
46,0.011138,4.330181,62.235
47,0.004457,4.176086,63.212
48,0.006601,3.966235,64.202
49,0.004954,3.711026,65.161
50,0.010097,3.494973,66.127
51,0.006986,3.314893,67.082
52,0.007080,3.085712,68.034
53,0.010895,2.827543,69.033
54,0.009684,2.633903,70.018
55,0.007195,2.426174,70.967
56,0.009130,2.259589,71.943
57,0.010473,2.030967,72.895
58,0.012298,1.948089,73.857
59,0.010175,1.870757,74.823
60,0.005105,1.594268,75.794
61,0.019177,1.872799,76.761
62,0.005068,1.778865,77.753
63,0.010163,1.480291,78.719
64,0.005218,1.193536,79.700
65,0.023061,1.412539,80.637
66,0.012973,1.300840,81.587
67,0.008232,1.195722,82.565
68,0.012291,1.310721,83.526
69,0.015752,1.446758,84.497
70,0.016411,1.760691,85.473
71,0.050638,4.059008,86.416
72,0.008662,3.901963,87.430
73,0.018176,2.586774,88.382
74,0.030676,1.799525,89.344
75,0.096717,6.572961,90.315
76,0.016235,6.874924,91.271
77,0.008403,5.080134,92.226
78,0.006132,3.188710,93.173
79,0.019368,2.020931,94.136
80,0.057562,4.614338,95.120
81,0.009024,4.323201,96.105
82,0.023624,2.570316,97.079
83,0.005868,0.725823,98.043
84,0.020498,0.564968,99.007
